date,story,product,architecture,engineering,qa,ux,composite,decision
2026-06-01,S1-auth,9,9,9,8,9,88,bridge-gaps
2026-06-01,S1-auth,10,10,10,10,10,100,ship
2026-06-01,S1-auth,10,10,10,10,10,100,shipped-pr1-2c93614
2026-06-01,S2-upload,8,9,9,9,8,86,bridge-gaps
2026-06-01,S2-upload,10,10,10,10,10,100,ship
2026-06-01,S2-upload,10,10,10,10,10,100,shipped-pr2-22f6b30
2026-06-01,S3-qa,9,9,8,9,9,88,bridge-gaps
2026-06-01,S3-qa,10,10,10,10,10,100,ship
2026-06-01,S3-qa,10,10,10,10,10,100,shipped-pr3-1d3af51
2026-06-01,S4-pricing,6,8,9,9,8,80,bridge-gaps
2026-06-01,S4-pricing,9,10,10,10,9,96,ship
2026-06-02,S4-pricing,10,10,10,10,10,100,ship
2026-06-02,S4-pricing,10,10,10,10,10,100,shipped-pr4-d562f19
2026-06-02,S5-deploy,10,8,10,10,10,96,ship
2026-06-02,S5-deploy,10,10,10,10,10,100,ship
2026-06-02,S5-deploy,10,10,10,10,10,100,shipped-pr5-9bc1af3
2026-06-02,S6-tap-payments,9,8,9,9,9,88,bridge-L3-pending-ci
